"E(level)(keV)", "Jπ(level)"    , "T1/2(level)"
"0"            , "5/2+"         , "STABLE"
"870.756 20"   , "1/2+"         , "179.6 ps 27 , % IT = 100"
"3055.40 6"    , "1/2-"         , "110 fs +24-21 , % IT = 100"
"3842.8 4"     , "5/2-"         , "92×10-3 eV 6 , % IT = 100"
"4143.27 13 S" , "1/2+"         , "# neutron separation energy 4143.08"
"4551.8 7"     , "3/2-"         , "38.7 keV 28 , % IT = 9.5×10-3, % n = 99.9905"
"5086.8 9"     , "3/2+"         , "90 keV 3 , % IT = 1.1×10-3, % n = 99.9988"
"5216.18 40"   , "9/2-"         , "< 0.1 keV, % n ≈ 100, % IT > 0"
"5387.1 22"    , "3/2-"         , "37.1 keV 24 , % IT = 1.9×10-3, % n = 99.9981"
"5697.32 33"   , "7/2-"         , "3.4 keV 3 , % IT = 3.2×10-2, % n = 99.968"
"5732.07 42"   , "(5/2-)"       , "< 1 keV, % n ≤ 100"
"5869.62 40"   , "3/2+"         , "6.6 keV 7 , % n ≤ 100"
"5931.6 15"    , "1/2-"         , "32 keV 3 , % n ≤ 100"
"6361.5 71"    , "1/2+"         , "126 keV 14 , % n ≈ 100"
"6860.6 4"     , "5/2+"         , "< 1 keV, % n ≈ 100, % α > 1×10-5"
"6972.5 4"     , "(7/2-)"       , "< 1 keV, % n ≈ 100, % α > 8×10-6"
"7165.86 17"   , "5/2-"         , "1.38 keV 5 , % α = 0.19, % n ≈ 100"
"7214 5"       , "3/2+"         , "263 keV 7 , % n = 99.957, % α = 0.043"
"7379.23 19"   , "5/2+"         , "0.61 keV +14-11 , % IT = 0.13, % n ≈ 98, % α ≈ 1.9"
"7382.37 14"   , "5/2-"         , "0.90 keV +17-14 , % n = 99.73, % α = 0.27"
"7543 20"      , "3/2-"         , "500 keV 50 , % n = 99.984, % α = 0.016"
"7573.5 6"     , "7/2+"         , "< 0.1 keV, % α > 0.073, % n < 99.93"
"7689.21 22"   , "7/2-"         , "14.4 keV 3 , % IT = 0.01, % n = 90.27, % α = 9.72"
"7763.6 4"     , "11/2-"        , "< 4 keV"
"7955 8"       , "1/2+"         , "85 keV 9 , % n = 92.61, % α = 7.39"
"7992 50"      , "1/2-"         , "270 keV 27 , % n ≈ 94.7, % α ≈ 5.3"
"8070 10"      , "3/2+"         , "77 keV 8 , % n ≈ 83, % α ≈ 17"
"8181 20 ?"    , "1/2-"         , "69 keV 7 , % n = 98.8, % α = 1.2"
"8200 8"       , "3/2-"         , "61 keV 10 , % IT ≈ 0.002, % n ≈ 92.305, % α ≈ 7.692"
"8343.94 39"   , "1/2+"         , "11.4 keV 5 , % n = 71, % α = 29"
"8403.90 7"    , "5/2+"         , "6.17 keV 13 , % n = 77, % α = 23"
"≈8467"        , "9/2+"         , "< 10 keV"
"8467.63 9"    , "7/2+"         , "2.13 keV 18 , % IT = 0.3, % n = 55.2, % α = 44.5"
