XS (b),Ea (eV)
0.000000000000000e+00,1.000000000000000e-05
0.000000000000000e+00,7.800000000000000e+05
4.048000000000000e-06,7.931000000000000e+05
1.262200000000000e-05,8.546100000000000e+05
3.654600000000000e-05,9.161200000000000e+05
5.467400000000000e-05,9.407300000000000e+05
8.062200000000000e-05,9.653300000000000e+05
1.170400000000000e-04,9.899400000000000e+05
1.402700000000000e-04,1.002200000000000e+06
1.679700000000000e-04,1.014500000000000e+06
2.031600000000000e-04,1.026800000000000e+06
2.659300000000000e-04,1.039100000000000e+06
2.778700000000000e-04,1.040400000000000e+06
2.926500000000000e-04,1.041600000000000e+06
3.115800000000000e-04,1.042800000000000e+06
3.369100000000000e-04,1.044100000000000e+06
3.726200000000000e-04,1.045300000000000e+06
4.262700000000000e-04,1.046500000000000e+06
5.137400000000001e-04,1.047800000000000e+06
6.727300000000000e-04,1.049000000000000e+06
1.010000000000000e-03,1.050200000000000e+06
1.912400000000000e-03,1.051500000000000e+06
2.999300000000000e-03,1.052100000000000e+06
5.162000000000000e-03,1.052700000000000e+06
5.781500000000000e-03,1.052800000000000e+06
6.459800000000000e-03,1.052900000000000e+06
7.178000000000000e-03,1.053100000000000e+06
7.902100000000000e-03,1.053200000000000e+06
8.579500000000000e-03,1.053300000000000e+06
9.142600000000001e-03,1.053400000000000e+06
9.521200000000000e-03,1.053500000000000e+06
9.660200000000001e-03,1.053700000000000e+06
9.538500000000000e-03,1.053800000000000e+06
9.176500000000001e-03,1.053900000000000e+06
7.963899999999999e-03,1.054200000000000e+06
6.540700000000000e-03,1.054400000000000e+06
5.253200000000000e-03,1.054700000000000e+06
4.215300000000000e-03,1.054900000000000e+06
3.417400000000000e-03,1.055100000000000e+06
2.812400000000000e-03,1.055400000000000e+06
2.352800000000000e-03,1.055600000000000e+06
2.000300000000000e-03,1.055900000000000e+06
1.726500000000000e-03,1.056100000000000e+06
1.510900000000000e-03,1.056400000000000e+06
1.338900000000000e-03,1.056600000000000e+06
1.200000000000000e-03,1.056900000000000e+06
1.086400000000000e-03,1.057100000000000e+06
9.924900000000000e-04,1.057400000000000e+06
9.141700000000000e-04,1.057600000000000e+06
6.672700000000000e-04,1.058800000000000e+06
5.446400000000000e-04,1.060100000000000e+06
4.761700000000000e-04,1.061300000000000e+06
4.349100000000000e-04,1.062500000000000e+06
4.087700000000000e-04,1.063800000000000e+06
3.804000000000000e-04,1.066200000000000e+06
3.681900000000000e-04,1.068700000000000e+06
3.638800000000000e-04,1.071100000000000e+06
3.639200000000000e-04,1.073600000000000e+06
3.665700000000000e-04,1.076100000000000e+06
3.793900000000000e-04,1.082200000000000e+06
3.967200000000000e-04,1.088400000000000e+06
4.162200000000000e-04,1.094500000000000e+06
4.369300000000000e-04,1.100700000000000e+06
4.583200000000000e-04,1.106800000000000e+06
4.800600000000000e-04,1.113000000000000e+06
5.019500000000000e-04,1.119100000000000e+06
5.238100000000000e-04,1.125300000000000e+06
5.455000000000000e-04,1.131400000000000e+06
5.669000000000000e-04,1.137600000000000e+06
5.879100000000000e-04,1.143700000000000e+06
6.084600000000000e-04,1.149900000000000e+06
6.284700000000000e-04,1.156000000000000e+06
6.478800000000000e-04,1.162200000000000e+06
6.666500000000000e-04,1.168300000000000e+06
6.847600000000000e-04,1.174500000000000e+06
6.918100000000000e-04,1.176900000000000e+06
6.987900000000000e-04,1.179400000000000e+06
7.056100000000000e-04,1.181900000000000e+06
7.122800000000000e-04,1.184300000000000e+06
7.189300000000000e-04,1.186800000000000e+06
7.254199999999999e-04,1.189200000000000e+06
7.318300000000000e-04,1.191700000000000e+06
7.380800000000000e-04,1.194200000000000e+06
7.442500000000000e-04,1.196600000000000e+06
7.503300000000000e-04,1.199100000000000e+06
7.562500000000000e-04,1.201500000000000e+06
7.620900000000000e-04,1.204000000000000e+06
7.678500000000000e-04,1.206500000000000e+06
7.735200000000000e-04,1.208900000000000e+06
7.790500000000000e-04,1.211400000000000e+06
7.924800000000000e-04,1.217500000000000e+06
8.054200000000001e-04,1.223700000000000e+06
8.177400000000000e-04,1.229800000000000e+06
8.295700000000000e-04,1.236000000000000e+06
8.519500000000000e-04,1.248300000000000e+06
8.729300000000000e-04,1.260600000000000e+06
8.928700000000000e-04,1.272900000000000e+06
9.124400000000000e-04,1.285200000000000e+06
9.327100000000000e-04,1.297500000000000e+06
9.580500000000000e-04,1.309800000000000e+06
1.027900000000000e-03,1.322100000000000e+06
1.324200000000000e-03,1.328300000000000e+06
1.607100000000000e-03,1.329500000000000e+06
2.417700000000000e-03,1.330700000000000e+06
3.554600000000000e-03,1.331300000000000e+06
6.731300000000000e-03,1.331900000000000e+06
1.999300000000000e-02,1.332600000000000e+06
3.908900000000000e-02,1.333200000000000e+06
1.185900000000000e-02,1.333800000000000e+06
5.492000000000000e-03,1.334400000000000e+06
4.086200000000000e-03,1.335000000000000e+06
4.528600000000000e-03,1.335600000000000e+06
6.243600000000000e-03,1.336200000000000e+06
6.427500000000000e-03,1.336400000000000e+06
6.429000000000000e-03,1.336500000000000e+06
6.240000000000000e-03,1.336600000000000e+06
5.896200000000000e-03,1.336700000000000e+06
5.459200000000000e-03,1.336900000000000e+06
3.426400000000000e-03,1.337500000000000e+06
2.401300000000000e-03,1.338100000000000e+06
1.912800000000000e-03,1.338700000000000e+06
1.649800000000000e-03,1.339300000000000e+06
1.491900000000000e-03,1.339900000000000e+06
1.389000000000000e-03,1.340600000000000e+06
1.108400000000000e-03,1.346700000000000e+06
1.067400000000000e-03,1.352900000000000e+06
1.058900000000000e-03,1.359000000000000e+06
1.060200000000000e-03,1.365200000000000e+06
1.065800000000000e-03,1.371300000000000e+06
1.073600000000000e-03,1.377500000000000e+06
1.082700000000000e-03,1.383600000000000e+06
1.104000000000000e-03,1.395900000000000e+06
1.128200000000000e-03,1.408200000000000e+06
1.154900000000000e-03,1.420500000000000e+06
1.184200000000000e-03,1.432800000000000e+06
1.216000000000000e-03,1.445100000000000e+06
1.250600000000000e-03,1.457400000000000e+06
1.288200000000000e-03,1.469700000000000e+06
1.329000000000000e-03,1.482000000000000e+06
1.373300000000000e-03,1.494300000000000e+06
1.421400000000000e-03,1.506600000000000e+06
1.473700000000000e-03,1.518900000000000e+06
1.530300000000000e-03,1.531200000000000e+06
1.591900000000000e-03,1.543500000000000e+06
1.659100000000000e-03,1.555800000000000e+06
1.734000000000000e-03,1.568100000000000e+06
2.177800000000000e-03,1.580500000000000e+06
1.896700000000000e-03,1.592800000000000e+06
1.986500000000000e-03,1.605100000000000e+06
2.086900000000000e-03,1.617400000000000e+06
2.196600000000000e-03,1.629700000000000e+06
2.316500000000000e-03,1.642000000000000e+06
2.447600000000000e-03,1.654300000000000e+06
2.591900000000000e-03,1.666600000000000e+06
2.751800000000000e-03,1.678900000000000e+06
2.932000000000000e-03,1.691200000000000e+06
3.143700000000000e-03,1.703500000000000e+06
3.270700000000000e-03,1.709600000000000e+06
3.424900000000000e-03,1.715800000000000e+06
3.630900000000000e-03,1.721900000000000e+06
3.930100000000000e-03,1.728100000000000e+06
4.002300000000000e-03,1.729300000000000e+06
4.076200000000000e-03,1.730500000000000e+06
4.149500000000000e-03,1.731800000000000e+06
4.218300000000000e-03,1.733000000000000e+06
4.278700000000000e-03,1.734200000000000e+06
4.326700000000000e-03,1.735500000000000e+06
4.359500000000000e-03,1.736700000000000e+06
4.376500000000000e-03,1.737900000000000e+06
4.379100000000000e-03,1.739100000000000e+06
4.370500000000000e-03,1.740400000000000e+06
4.334900000000000e-03,1.742800000000000e+06
4.296700000000000e-03,1.745300000000000e+06
4.270100000000000e-03,1.747800000000000e+06
4.259300000000000e-03,1.750200000000000e+06
4.263100000000000e-03,1.752700000000000e+06
4.321300000000000e-03,1.758800000000000e+06
4.424000000000000e-03,1.765000000000000e+06
4.553300000000000e-03,1.771100000000000e+06
4.700900000000000e-03,1.777300000000000e+06
5.037100000000000e-03,1.789600000000000e+06
5.420300000000000e-03,1.801900000000000e+06
5.849900000000000e-03,1.814200000000000e+06
6.328100000000000e-03,1.826500000000000e+06
6.858600000000000e-03,1.838800000000000e+06
7.447400000000000e-03,1.851100000000000e+06
8.100700000000001e-03,1.863400000000000e+06
8.825800000000000e-03,1.875700000000000e+06
9.631199999999999e-03,1.888000000000000e+06
1.052800000000000e-02,1.900300000000000e+06
1.265200000000000e-02,1.924900000000000e+06
1.536100000000000e-02,1.949500000000000e+06
1.897500000000000e-02,1.974100000000000e+06
2.418100000000000e-02,1.998700000000000e+06
3.247700000000000e-02,2.023300000000000e+06
4.490800000000000e-02,2.047900000000000e+06
5.427900000000000e-02,2.072500000000000e+06
4.909300000000000e-02,2.097100000000000e+06
4.059300000000000e-02,2.121800000000000e+06
3.766400000000000e-02,2.146400000000000e+06
3.892200000000000e-02,2.158700000000000e+06
4.251300000000000e-02,2.171000000000000e+06
4.906300000000000e-02,2.183300000000000e+06
5.895700000000000e-02,2.195600000000000e+06
7.115600000000000e-02,2.207900000000000e+06
8.201799999999999e-02,2.220200000000000e+06
8.544599999999999e-02,2.226300000000000e+06
8.707200000000000e-02,2.232500000000000e+06
8.693200000000000e-02,2.238600000000000e+06
8.535200000000000e-02,2.244800000000000e+06
8.278199999999999e-02,2.250900000000000e+06
7.966100000000000e-02,2.257100000000000e+06
7.633700000000000e-02,2.263200000000000e+06
7.307400000000000e-02,2.269400000000000e+06
6.725900000000000e-02,2.281700000000000e+06
6.280600000000000e-02,2.294000000000000e+06
5.981900000000000e-02,2.306300000000000e+06
5.831000000000000e-02,2.318600000000000e+06
5.833700000000000e-02,2.330900000000000e+06
6.006200000000000e-02,2.343200000000000e+06
6.372700000000001e-02,2.355500000000000e+06
6.944500000000001e-02,2.367800000000000e+06
7.684400000000000e-02,2.380100000000000e+06
8.479500000000000e-02,2.392400000000000e+06
8.793800000000000e-02,2.398600000000000e+06
8.928200000000000e-02,2.404700000000000e+06
8.792899999999999e-02,2.410900000000000e+06
8.374100000000000e-02,2.417000000000000e+06
8.261599999999999e-02,2.418200000000000e+06
8.141500000000000e-02,2.419500000000000e+06
8.014200000000000e-02,2.420700000000000e+06
7.881800000000000e-02,2.421900000000000e+06
7.744700000000000e-02,2.423200000000000e+06
7.603200000000000e-02,2.424400000000000e+06
7.459399999999999e-02,2.425600000000000e+06
7.313300000000000e-02,2.426800000000000e+06
7.166200000000000e-02,2.428100000000000e+06
7.018199999999999e-02,2.429300000000000e+06
6.294700000000000e-02,2.435500000000000e+06
5.632600000000000e-02,2.441600000000000e+06
5.057900000000000e-02,2.447800000000000e+06
4.572000000000000e-02,2.453900000000000e+06
4.167200000000000e-02,2.460100000000000e+06
3.831500000000000e-02,2.466200000000000e+06
3.320700000000000e-02,2.478500000000000e+06
2.962200000000000e-02,2.490800000000000e+06
2.704500000000000e-02,2.503100000000000e+06
2.516000000000000e-02,2.515400000000000e+06
2.379100000000000e-02,2.527700000000000e+06
2.288700000000000e-02,2.540000000000000e+06
2.258900000000000e-02,2.552300000000000e+06
2.366100000000000e-02,2.564600000000000e+06
2.560600000000000e-02,2.570800000000000e+06
3.017100000000000e-02,2.576900000000000e+06
4.126700000000000e-02,2.583100000000000e+06
6.340300000000000e-02,2.589200000000000e+06
7.091500000000001e-02,2.591700000000000e+06
7.222400000000000e-02,2.594200000000000e+06
6.716300000000000e-02,2.596600000000000e+06
