XS (b),Ea (eV)
2.600000000000000e-06,7.670000000000000e+05
3.300000000000000e-06,7.860000000000000e+05
5.100000000000000e-06,8.070000000000000e+05
7.200000000000000e-06,8.260000000000000e+05
1.080000000000000e-05,8.460000000000000e+05
1.430000000000000e-05,8.660000000000000e+05
2.020000000000000e-05,8.860000000000000e+05
2.870000000000000e-05,9.060000000000000e+05
3.840000000000000e-05,9.250000000000000e+05
5.320000000000000e-05,9.450000000000000e+05
8.010000000000001e-05,9.650000000000000e+05
8.930000000000000e-05,9.750000000000000e+05
1.010000000000000e-04,9.850000000000000e+05
1.160000000000000e-04,9.940000000000000e+05
1.520000000000000e-04,1.005000000000000e+06
1.640000000000000e-04,1.016000000000000e+06
1.890000000000000e-04,1.025000000000000e+06
2.090000000000000e-04,1.030000000000000e+06
4.610000000000000e-04,1.046000000000000e+06
8.500000000000000e-04,1.050000000000000e+06
2.030000000000000e-03,1.052000000000000e+06
4.530000000000000e-03,1.053000000000000e+06
8.770000000000000e-03,1.054000000000000e+06
4.540000000000000e-03,1.055000000000000e+06
2.040000000000000e-03,1.056000000000000e+06
8.800000000000000e-04,1.058000000000000e+06
5.560000000000001e-04,1.062000000000000e+06
4.950000000000000e-04,1.078000000000000e+06
4.810000000000000e-04,1.080000000000000e+06
4.660000000000001e-04,1.087000000000000e+06
4.830000000000000e-04,1.098000000000000e+06
4.850000000000000e-04,1.112000000000000e+06
5.000000000000000e-04,1.122000000000000e+06
5.610000000000001e-04,1.132000000000000e+06
5.980000000000000e-04,1.142000000000000e+06
6.140000000000000e-04,1.152000000000000e+06
6.400000000000001e-04,1.162000000000000e+06
6.640000000000001e-04,1.172000000000000e+06
6.810000000000001e-04,1.182000000000000e+06
7.400000000000000e-04,1.192000000000000e+06
7.490000000000000e-04,1.202000000000000e+06
7.840000000000001e-04,1.212000000000000e+06
7.950000000000000e-04,1.222000000000000e+06
7.960000000000000e-04,1.232000000000000e+06
8.340000000000000e-04,1.242000000000000e+06
8.680000000000001e-04,1.251000000000000e+06
8.690000000000000e-04,1.261000000000000e+06
8.660000000000000e-04,1.271000000000000e+06
9.310000000000001e-04,1.281000000000000e+06
8.870000000000000e-04,1.291000000000000e+06
9.410000000000000e-04,1.301000000000000e+06
9.180000000000001e-04,1.303000000000000e+06
9.300000000000001e-04,1.305000000000000e+06
9.500000000000000e-04,1.307000000000000e+06
9.580000000000000e-04,1.309000000000000e+06
9.900000000000000e-04,1.311000000000000e+06
2.210000000000000e-03,1.333000000000000e+06
4.260000000000000e-03,1.334000000000000e+06
1.080000000000000e-02,1.335000000000000e+06
4.820000000000001e-02,1.336000000000000e+06
1.090000000000000e-02,1.337000000000000e+06
4.269999999999999e-03,1.338000000000000e+06
2.220000000000000e-03,1.339000000000000e+06
1.140000000000000e-03,1.365000000000000e+06
1.130000000000000e-03,1.377000000000000e+06
1.120000000000000e-03,1.389000000000000e+06
1.090000000000000e-03,1.400000000000000e+06
1.110000000000000e-03,1.410000000000000e+06
1.160000000000000e-03,1.420000000000000e+06
1.210000000000000e-03,1.431000000000000e+06
1.190000000000000e-03,1.441000000000000e+06
1.220000000000000e-03,1.450000000000000e+06
1.290000000000000e-03,1.461000000000000e+06
1.290000000000000e-03,1.471000000000000e+06
1.310000000000000e-03,1.480000000000000e+06
1.310000000000000e-03,1.490000000000000e+06
1.370000000000000e-03,1.500000000000000e+06
1.420000000000000e-03,1.510000000000000e+06
1.440000000000000e-03,1.520000000000000e+06
1.570000000000000e-03,1.530000000000000e+06
1.670000000000000e-03,1.541000000000000e+06
1.620000000000000e-03,1.550000000000000e+06
1.750000000000000e-03,1.560000000000000e+06
2.900000000000000e-03,1.585000000000000e+06
3.200000000000000e-03,1.587000000000000e+06
4.300000000000000e-03,1.588000000000000e+06
6.250000000000000e-03,1.589000000000000e+06
1.050000000000000e-02,1.590000000000000e+06
6.260000000000000e-03,1.591000000000000e+06
4.330000000000001e-03,1.592000000000000e+06
3.320000000000000e-03,1.593000000000000e+06
3.020000000000000e-03,1.595000000000000e+06
2.120000000000000e-03,1.609000000000000e+06
2.170000000000000e-03,1.619000000000000e+06
2.230000000000000e-03,1.629000000000000e+06
2.290000000000000e-03,1.639000000000000e+06
2.380000000000000e-03,1.649000000000000e+06
2.450000000000000e-03,1.660000000000000e+06
2.750000000000000e-03,1.670000000000000e+06
2.850000000000000e-03,1.680000000000000e+06
2.950000000000000e-03,1.690000000000000e+06
3.240000000000000e-03,1.699000000000000e+06
3.340000000000000e-03,1.709000000000000e+06
3.730000000000000e-03,1.719000000000000e+06
4.110000000000001e-03,1.730000000000000e+06
4.300000000000000e-03,1.740000000000000e+06
4.370000000000001e-03,1.749000000000000e+06
4.420000000000000e-03,1.759000000000000e+06
4.810000000000000e-03,1.769000000000000e+06
