XS (b),dXS (b),Ea (eV)
1.910000000000000e-12,3.320000000000000e-13,3.155000000000000e+05
9.610000000000000e-12,9.659999999999999e-13,3.452000000000000e+05
3.360000000000000e-11,3.510000000000000e-12,3.689000000000000e+05
8.820000000000000e-11,1.200000000000000e-11,3.888000000000000e+05
1.240000000000000e-09,8.000000000000000e-11,4.541000000000000e+05
4.020000000000000e-09,1.500000000000000e-10,4.839000000000000e+05
9.510000000000000e-09,3.290000000000000e-10,5.135000000000000e+05
1.590000000000000e-08,5.470000000000000e-10,5.284000000000000e+05
2.300000000000000e-08,8.040000000000000e-10,5.433000000000000e+05
3.410000000000000e-08,1.210000000000000e-09,5.581000000000000e+05
5.320000000000000e-08,1.880000000000000e-09,5.731000000000000e+05
7.759999999999999e-08,2.760000000000000e-09,5.879000000000000e+05
1.080000000000000e-07,3.860000000000000e-09,6.028000000000000e+05
1.610000000000000e-07,5.830000000000000e-09,6.177000000000000e+05
2.260000000000000e-07,8.230000000000000e-09,6.326000000000000e+05
3.300000000000000e-07,1.210000000000000e-08,6.475000000000000e+05
4.720000000000000e-07,1.730000000000000e-08,6.625000000000000e+05
6.470000000000000e-07,2.400000000000000e-08,6.773000000000000e+05
8.350000000000001e-07,3.170000000000000e-08,6.922000000000000e+05
1.170000000000000e-06,4.450000000000000e-08,7.071000000000000e+05
1.590000000000000e-06,6.040000000000000e-08,7.220000000000000e+05
2.030000000000000e-06,7.900000000000001e-08,7.369000000000000e+05
2.780000000000000e-06,1.080000000000000e-07,7.518000000000000e+05
3.810000000000000e-06,1.480000000000000e-07,7.668000000000000e+05
9.910000000000000e-06,3.290000000000000e-07,8.192000000000000e+05
1.290000000000000e-05,4.100000000000000e-07,8.341000000000000e+05
1.670000000000000e-05,5.249999999999999e-07,8.491000000000000e+05
2.200000000000000e-05,6.840000000000000e-07,8.640000000000000e+05
2.790000000000000e-05,8.600000000000000e-07,8.790000000000000e+05
3.610000000000000e-05,1.120000000000000e-06,8.940000000000000e+05
4.700000000000000e-05,1.430000000000000e-06,9.089000000000000e+05
6.020000000000000e-05,1.850000000000000e-06,9.239000000000000e+05
7.610000000000001e-05,2.330000000000000e-06,9.389000000000000e+05
9.660000000000000e-05,3.000000000000000e-06,9.538000000000000e+05
1.220000000000000e-04,3.730000000000000e-06,9.688000000000000e+05
1.520000000000000e-04,4.680000000000000e-06,9.838000000000000e+05
1.860000000000000e-04,5.650000000000000e-06,9.987000000000000e+05
7.860000000000000e-04,2.380000000000000e-05,1.132900000000000e+06
8.520000000000000e-04,2.580000000000000e-05,1.147900000000000e+06
9.210000000000001e-04,2.790000000000000e-05,1.162800000000000e+06
9.650000000000000e-04,2.930000000000000e-05,1.177800000000000e+06
1.020000000000000e-03,3.090000000000000e-05,1.192800000000000e+06
1.060000000000000e-03,3.230000000000000e-05,1.207800000000000e+06
1.100000000000000e-03,3.340000000000000e-05,1.222700000000000e+06
1.120000000000000e-03,3.410000000000000e-05,1.237700000000000e+06
1.160000000000000e-03,3.530000000000000e-05,1.252700000000000e+06
1.210000000000000e-03,3.680000000000000e-05,1.267600000000000e+06
1.240000000000000e-03,3.770000000000000e-05,1.282600000000000e+06
1.500000000000000e-03,4.560000000000000e-05,1.367200000000000e+06
1.530000000000000e-03,4.640000000000000e-05,1.382400000000000e+06
1.500000000000000e-03,4.570000000000000e-05,1.397300000000000e+06
1.480000000000000e-03,4.490000000000000e-05,1.412300000000000e+06
1.480000000000000e-03,4.510000000000000e-05,1.427300000000000e+06
1.530000000000000e-03,4.640000000000000e-05,1.442300000000000e+06
1.630000000000000e-03,4.940000000000000e-05,1.457300000000000e+06
1.670000000000000e-03,5.070000000000000e-05,1.472300000000000e+06
1.770000000000000e-03,5.350000000000000e-05,1.487300000000000e+06
1.920000000000000e-03,5.830000000000000e-05,1.502300000000000e+06
1.980000000000000e-03,5.990000000000000e-05,1.517300000000000e+06
2.080000000000000e-03,6.290000000000000e-05,1.532200000000000e+06
