XS (b),dXS (b),Ea (eV),dEa (eV)
6.155000000000000e-02,5.939814179122104e-03,2.082000000000000e+06,7.000000000000000e+04
6.651000000000000e-02,6.413302407480875e-03,2.136000000000000e+06,6.900000000000000e+04
7.160000000000000e-02,6.904111447536170e-03,2.174000000000000e+06,6.800000000000000e+04
9.883000000000000e-02,9.566621482686560e-03,2.212000000000000e+06,6.800000000000000e+04
1.146000000000000e-01,1.106943461970845e-02,2.264000000000000e+06,6.700000000000000e+04
8.755000000000000e-02,8.448915213357274e-03,2.313000000000000e+06,6.600000000000000e+04
8.878000000000000e-02,8.554725816412820e-03,2.354000000000000e+06,6.600000000000000e+04
9.132999999999999e-02,8.821740521971839e-03,2.397000000000000e+06,6.500000000000000e+04
2.991000000000000e-02,2.892004689985823e-03,2.964000000000000e+06,5.800000000000000e+04
6.133000000000000e-02,5.909679368332939e-03,3.078000000000000e+06,5.600000000000000e+04
7.808000000000000e-02,7.535023413580079e-03,3.202000000000000e+06,5.500000000000000e+04
1.574500000000000e-01,1.517167807833069e-02,3.272000000000000e+06,5.400000000000000e+04
1.618000000000000e-01,1.559083844441985e-02,3.300000000000000e+06,5.400000000000000e+04
1.499600000000000e-01,1.449966644300482e-02,3.306000000000000e+06,5.400000000000000e+04
1.444700000000000e-01,1.393068408974232e-02,3.344000000000000e+06,5.400000000000000e+04
1.270800000000000e-01,1.225383355800135e-02,3.383000000000000e+06,5.300000000000000e+04
3.438000000000000e-02,3.327941379892380e-03,4.651000000000000e+06,4.300000000000000e+04
4.433000000000000e-02,4.291089045102653e-03,4.704000000000000e+06,4.300000000000000e+04
4.783000000000000e-02,4.635563579296481e-03,4.802000000000000e+06,4.200000000000000e+04
3.881000000000000e-02,3.748732614231108e-03,4.875000000000000e+06,4.200000000000000e+04
6.691999999999999e-02,6.463931629588913e-03,4.922000000000000e+06,4.200000000000000e+04
9.635000000000001e-02,9.298149409559947e-03,4.944000000000000e+06,4.100000000000000e+04
1.685100000000000e-01,1.623740535395049e-02,4.987000000000000e+06,4.100000000000000e+04
8.454000000000000e-02,8.158438516701588e-03,5.050000000000000e+06,4.100000000000000e+04
1.152000000000000e-01,1.110052279849918e-02,5.111000000000000e+06,4.000000000000000e+04
1.420600000000000e-01,1.368871761071869e-02,5.171000000000000e+06,4.000000000000000e+04
1.310100000000000e-01,1.263278827851555e-02,5.175000000000000e+06,4.000000000000000e+04
1.300500000000000e-01,1.253144956549321e-02,5.254000000000000e+06,4.000000000000000e+04
9.417000000000000e-02,9.087770938227921e-03,5.334000000000000e+06,3.900000000000000e+04
7.957000000000000e-02,7.672627763693479e-03,5.400000000000000e+06,3.900000000000000e+04
8.982000000000000e-02,8.675886715028037e-03,5.450000000000000e+06,3.900000000000000e+04
1.071400000000000e-01,1.033109637554505e-02,5.500000000000000e+06,3.800000000000000e+04
5.498000000000000e-02,5.301509041697467e-03,5.589000000000000e+06,3.800000000000000e+04
7.271000000000000e-02,7.011144460200487e-03,5.739000000000000e+06,3.700000000000000e+04
9.026000000000001e-02,8.703423173947133e-03,5.879000000000000e+06,3.700000000000000e+04
1.508300000000000e-01,1.456896006710843e-02,5.927000000000000e+06,3.700000000000000e+04
1.993200000000000e-01,1.918552068972849e-02,5.989000000000000e+06,3.600000000000000e+04
8.851000000000001e-02,8.534677433260146e-03,6.117000000000000e+06,3.600000000000000e+04
