XS (b),dXS (b),Ea (eV),dEa (eV)
1.304000000000000e-04,2.400000000000000e-05,9.973000000000000e+05,1.495950000000000e+03
1.584000000000000e-04,2.480000000000000e-05,1.003300000000000e+06,1.504950000000000e+03
1.824000000000000e-04,2.720000000000000e-05,1.016300000000000e+06,1.524450000000000e+03
2.816000000000000e-04,3.360000000000000e-05,1.030300000000000e+06,1.545450000000000e+03
3.688000000000000e-04,3.440000000000000e-05,1.043300000000000e+06,1.564950000000000e+03
3.592000000000001e-04,3.360000000000000e-05,1.044300000000000e+06,1.566450000000000e+03
4.624000000000000e-04,3.680000000000000e-05,1.044300000000000e+06,1.566450000000000e+03
3.656000000000000e-04,3.360000000000000e-05,1.045300000000000e+06,1.567950000000000e+03
4.136000000000000e-04,3.600000000000000e-05,1.046300000000000e+06,1.569450000000000e+03
5.152000000000001e-04,3.840000000000001e-05,1.047300000000000e+06,1.570950000000000e+03
5.104000000000000e-04,3.760000000000000e-05,1.047300000000000e+06,1.570950000000000e+03
5.496000000000000e-04,3.920000000000000e-05,1.048300000000000e+06,1.572450000000000e+03
6.104000000000001e-04,4.080000000000000e-05,1.049300000000000e+06,1.573950000000000e+03
7.440000000000001e-04,4.480000000000000e-05,1.049300000000000e+06,1.573950000000000e+03
1.026400000000000e-03,5.200000000000000e-05,1.050300000000000e+06,1.575450000000000e+03
1.209600000000000e-03,5.520000000000000e-05,1.051300000000000e+06,1.576950000000000e+03
1.798400000000000e-03,6.719999999999999e-05,1.051300000000000e+06,1.576950000000000e+03
2.780000000000000e-03,8.240000000000000e-05,1.052300000000000e+06,1.578450000000000e+03
4.033600000000000e-03,9.920000000000001e-05,1.053300000000000e+06,1.579950000000000e+03
4.678400000000000e-03,1.064000000000000e-04,1.053300000000000e+06,1.579950000000000e+03
5.255200000000001e-03,1.120000000000000e-04,1.054300000000000e+06,1.581450000000000e+03
5.224000000000000e-03,1.120000000000000e-04,1.055300000000000e+06,1.582950000000000e+03
4.774400000000001e-03,1.072000000000000e-04,1.055300000000000e+06,1.582950000000000e+03
4.242400000000000e-03,1.016000000000000e-04,1.056300000000000e+06,1.584450000000000e+03
3.314400000000000e-03,8.960000000000001e-05,1.057300000000000e+06,1.585950000000000e+03
2.479200000000000e-03,7.840000000000001e-05,1.057300000000000e+06,1.585950000000000e+03
1.946400000000000e-03,6.960000000000000e-05,1.058300000000000e+06,1.587450000000000e+03
1.441600000000000e-03,5.999999999999999e-05,1.059300000000000e+06,1.588950000000000e+03
1.193600000000000e-03,5.520000000000000e-05,1.059300000000000e+06,1.588950000000000e+03
8.680000000000001e-04,4.800000000000000e-05,1.060300000000000e+06,1.590450000000000e+03
7.928000000000000e-04,4.640000000000000e-05,1.061300000000000e+06,1.591950000000000e+03
7.376000000000000e-04,4.480000000000000e-05,1.061300000000000e+06,1.591950000000000e+03
6.944000000000000e-04,4.400000000000001e-05,1.062300000000000e+06,1.593450000000000e+03
6.520000000000000e-04,4.400000000000001e-05,1.063300000000000e+06,1.594950000000000e+03
5.528000000000000e-04,4.240000000000000e-05,1.063300000000000e+06,1.594950000000000e+03
4.696000000000000e-04,3.680000000000000e-05,1.067400000000000e+06,1.601100000000000e+03
5.264000000000000e-04,3.840000000000001e-05,1.070400000000000e+06,1.605600000000000e+03
4.656000000000000e-04,3.680000000000000e-05,1.074400000000000e+06,1.611600000000000e+03
3.896000000000000e-04,3.520000000000000e-05,1.077400000000000e+06,1.616100000000000e+03
