XS (b),dXS (b),Ea (eV)
2.373400000000000e-04,2.164300000000000e-06,1.045000000000000e+06
1.251800000000000e-04,6.293000000000000e-07,9.997700000000000e+05
5.837500000000000e-05,2.898000000000000e-07,9.500000000000000e+05
2.636800000000000e-05,1.516600000000000e-07,8.999900000000000e+05
1.127400000000000e-05,8.698000000000000e-08,8.501000000000000e+05
4.501700000000000e-06,2.218100000000000e-08,7.998300000000000e+05
1.881600000000000e-06,1.275200000000000e-08,7.499700000000000e+05
6.830800000000001e-07,3.127600000000000e-09,7.000100000000000e+05
2.214800000000000e-07,2.051400000000000e-09,6.497900000000000e+05
7.191699999999999e-08,1.048000000000000e-09,6.001200000000000e+05
2.018200000000000e-08,4.765400000000000e-10,5.499400000000000e+05
4.542000000000000e-09,1.857900000000000e-10,4.999700000000000e+05
7.682300000000000e-10,6.741400000000000e-11,4.499300000000000e+05
