XS (b),Ea (eV)
3.283300000000000e-03,1.057400000000000e+06
1.016000000000000e-03,1.208000000000000e+06
6.631300000000000e-03,1.334800000000000e+06
1.202000000000000e-03,1.390300000000000e+06
1.589600000000000e-03,1.517000000000000e+06
2.772900000000000e-03,1.590300000000000e+06
2.094400000000000e-03,1.669600000000000e+06
3.398100000000000e-03,1.719100000000000e+06
5.060400000000000e-03,1.734900000000000e+06
9.255299999999999e-03,1.780500000000000e+06
2.678410000000000e-02,1.890600000000000e+06
3.482350000000000e-02,2.015100000000000e+06
5.671000000000000e-02,2.078700000000000e+06
5.017870000000000e-02,2.130200000000000e+06
6.367100000000001e-02,2.196500000000000e+06
9.748620000000000e-02,2.234400000000000e+06
7.796200000000000e-02,2.283200000000000e+06
6.601810000000000e-02,2.331900000000000e+06
7.627430000000000e-02,2.379300000000000e+06
8.193259999999999e-02,2.419900000000000e+06
6.052770000000000e-02,2.447000000000000e+06
3.504770000000000e-02,2.495700000000000e+06
2.877100000000000e-02,2.571500000000000e+06
7.667090000000000e-02,2.598600000000000e+06
4.444250000000000e-02,2.617600000000000e+06
2.466110000000000e-02,2.646000000000000e+06
8.257940000000000e-02,2.670400000000000e+06
1.812350000000000e-02,2.706900000000000e+06
1.783760000000000e-02,2.729900000000000e+06
6.601269999999999e-02,2.750200000000000e+06
2.891750000000000e-02,2.759700000000000e+06
3.269420000000000e-02,2.780000000000000e+06
1.790110000000000e-01,2.798700000000000e+06
2.424820000000000e-02,2.861300000000000e+06
2.014630000000000e-02,2.923500000000000e+06
3.793980000000000e-02,3.035900000000000e+06
4.008230000000000e-02,3.071100000000000e+06
3.407910000000000e-02,3.142900000000000e+06
5.892380000000000e-02,3.236300000000000e+06
1.062470000000000e-01,3.316200000000000e+06
6.614120000000000e-02,3.375700000000000e+06
7.397970000000000e-02,3.394700000000000e+06
8.506940000000000e-02,3.409600000000000e+06
7.667080000000000e-02,3.419000000000000e+06
