XS (b),dXS (b),Ea (eV),dEa (eV)
1.922000000000000e-02,3.086171583045895e-03,2.887568524998623e+06,5.775137049997246e+03
1.910000000000000e-02,3.066208733925334e-03,2.887568524998623e+06,5.775137049997246e+03
1.945000000000000e-02,3.118420112813538e-03,2.889579515683070e+06,5.779159031366140e+03
2.761000000000000e-02,4.431443304387410e-03,2.988836816347743e+06,5.977673632695486e+03
3.476000000000000e-02,5.583143788225412e-03,3.008900845077741e+06,6.017801690155482e+03
5.110000000000000e-02,8.202595686732341e-03,3.072036776946488e+06,6.144073553892976e+03
4.854000000000000e-02,7.792725387180021e-03,3.078054456295005e+06,6.156108912590010e+03
4.652000000000000e-02,7.465763607294301e-03,3.089080496473609e+06,6.178160992947217e+03
4.331000000000000e-02,6.954671535018746e-03,3.109129232498782e+06,6.218258464997563e+03
4.302000000000000e-02,6.907593085872967e-03,3.129170322171543e+06,6.258340644343086e+03
4.538000000000000e-02,7.284731747978095e-03,3.148217386030699e+06,6.296434772061399e+03
4.986000000000000e-02,8.005685589629411e-03,3.168258475703459e+06,6.336516951406919e+03
5.647000000000000e-02,9.073243027716166e-03,3.189308883894650e+06,6.378617767789300e+03
6.510000000000001e-02,1.045227037537778e-02,3.209357619919823e+06,6.418715239839647e+03
7.877000000000001e-02,1.264281021925110e-02,3.229398709592584e+06,6.458797419185168e+03
9.429000000000000e-02,1.513170066317729e-02,3.249447445617757e+06,6.498894891235514e+03
1.010900000000000e-01,1.621885370055480e-02,3.259464167277931e+06,6.518928334555863e+03
1.192200000000000e-01,1.912505307286754e-02,3.278518877489499e+06,6.557037754978998e+03
1.277000000000000e-01,2.048698669887790e-02,3.289537271315691e+06,6.579074542631382e+03
1.315900000000000e-01,2.110919608511892e-02,3.309586007340864e+06,6.619172014681728e+03
1.217900000000000e-01,1.954559246889180e-02,3.329634743366037e+06,6.659269486732074e+03
1.107200000000000e-01,1.776431003557414e-02,3.338657439212606e+06,6.677314878425213e+03
8.724999999999999e-02,1.400406012554930e-02,3.359707847403797e+06,6.719415694807594e+03
8.184000000000000e-02,1.313252874963539e-02,3.380750609242575e+06,6.761501218485151e+03
1.060200000000000e-01,1.700993104747929e-02,3.398796000935713e+06,6.797592001871427e+03
6.637999999999999e-02,1.065088694147112e-02,3.420848081292921e+06,6.841696162585843e+03
3.604000000000000e-02,5.784718572238412e-03,3.439887498799665e+06,6.879774997599330e+03
2.649000000000000e-02,4.252015352747447e-03,3.448910194646234e+06,6.897820389292468e+03
1.721000000000000e-02,2.763188911384815e-03,3.468958930671407e+06,6.937917861342814e+03
