XS (b),dXS (b),Ea (eV),dEa (eV)
1.270900000000000e-02,1.624954300526633e-03,1.942100000000000e+06,5000
1.411600000000000e-02,1.788594294075657e-03,1.950400000000000e+06,5000
1.524400000000000e-02,1.920733488227870e-03,1.964300000000000e+06,5000
1.679200000000000e-02,2.103134495746765e-03,1.975400000000000e+06,5000
1.833900000000000e-02,2.286377053506267e-03,1.980800000000000e+06,5000
1.960600000000000e-02,2.437016514675270e-03,1.991900000000000e+06,5000
2.101400000000000e-02,2.604900247763818e-03,2.000200000000000e+06,5000
2.214000000000000e-02,2.739463100682322e-03,2.008500000000000e+06,5000
2.326600000000000e-02,2.874254684052893e-03,2.016800000000000e+06,5000
2.453200000000000e-02,3.026040573951381e-03,2.022300000000000e+06,5000
2.565700000000000e-02,3.161102403466234e-03,2.027800000000000e+06,5000
2.678300000000000e-02,3.296432999046090e-03,2.036100000000000e+06,5000
2.818900000000000e-02,3.465598342393416e-03,2.038800000000000e+06,5000
2.973600000000000e-02,3.651930927714816e-03,2.047100000000000e+06,5000
3.184600000000000e-02,3.906364319517574e-03,2.055300000000000e+06,5000
3.395400000000000e-02,4.160833680502021e-03,2.057800000000000e+06,5000
3.592200000000000e-02,4.398610376380250e-03,2.063300000000000e+06,5000
3.985800000000000e-02,4.874645671964271e-03,2.071300000000000e+06,5000
3.817200000000000e-02,4.670664132990082e-03,2.071400000000000e+06,5000
4.154500000000000e-02,5.078839234510185e-03,2.076700000000000e+06,5000
4.337400000000000e-02,5.300311063022623e-03,2.084900000000000e+06,5000
4.520100000000000e-02,5.521623849448638e-03,2.090400000000000e+06,5000
4.604700000000000e-02,5.624129078639643e-03,2.098700000000000e+06,5000
4.464600000000000e-02,5.454386003648806e-03,2.115700000000000e+06,5000
4.338400000000000e-02,5.301522191672878e-03,2.121500000000000e+06,5000
4.198200000000000e-02,5.131746992516291e-03,2.132900000000000e+06,5000
4.085900000000000e-02,4.995795896431318e-03,2.135800000000000e+06,5000
3.931700000000000e-02,4.809182054902892e-03,2.150000000000000e+06,5000
3.777600000000000e-02,4.622768370230115e-03,2.164300000000000e+06,5000
4.073100000000000e-02,4.980302454951908e-03,2.180800000000000e+06,5000
4.382400000000000e-02,5.354814286676990e-03,2.191700000000000e+06,5000
4.719800000000000e-02,5.763613260724560e-03,2.199800000000000e+06,5000
5.071300000000000e-02,6.189730516040257e-03,2.207800000000000e+06,5000
5.394600000000000e-02,6.581833297554717e-03,2.215900000000000e+06,5000
5.802100000000000e-02,7.076246132434909e-03,2.221100000000000e+06,5000
6.223700000000000e-02,7.587949242133872e-03,2.226300000000000e+06,5000
6.631300000000000e-02,8.082804385929426e-03,2.234300000000000e+06,5000
6.996700000000000e-02,8.526525676804122e-03,2.239500000000000e+06,5000
7.235600000000000e-02,8.816676408534001e-03,2.242000000000000e+06,5000
7.362200000000001e-02,8.970448343488747e-03,2.247500000000000e+06,5000
7.489000000000000e-02,9.124471441130166e-03,2.261400000000000e+06,5000
7.306600000000001e-02,8.902913976266422e-03,2.267300000000000e+06,5000
6.927700000000001e-02,8.442729439535536e-03,2.281700000000000e+06,5000
6.618800000000000e-02,8.067626657896360e-03,2.287700000000000e+06,5000
6.338100000000001e-02,7.726825815482061e-03,2.299200000000000e+06,5000
6.085500000000000e-02,7.420195359288056e-03,2.308000000000000e+06,5000
5.860900000000000e-02,7.147602411914082e-03,2.313800000000000e+06,5000
5.692500000000000e-02,6.943251633780818e-03,2.322400000000000e+06,5000
5.552100000000000e-02,6.772902282389729e-03,2.325400000000000e+06,5000
5.439900000000000e-02,6.636785198784123e-03,2.331200000000000e+06,5000
5.313600000000000e-02,6.483581613645347e-03,2.336900000000000e+06,5000
5.201500000000000e-02,6.347620918895519e-03,2.348300000000000e+06,5000
5.328500000000000e-02,6.501654414839349e-03,2.367800000000000e+06,5000
5.525300000000000e-02,6.740388069925943e-03,2.373200000000000e+06,5000
5.708100000000000e-02,6.962180714603722e-03,2.378700000000000e+06,5000
5.848700000000000e-02,7.132796905926874e-03,2.384000000000000e+06,5000
5.989200000000000e-02,7.303311894421598e-03,2.384100000000000e+06,5000
6.143900000000000e-02,7.491082076095549e-03,2.389400000000000e+06,5000
6.368900000000000e-02,7.764217479617632e-03,2.397600000000000e+06,5000
6.579800000000000e-02,8.020272856904556e-03,2.403000000000000e+06,5000
6.819000000000000e-02,8.310725977915528e-03,2.416800000000000e+06,5000
6.510299999999999e-02,7.935888671925784e-03,2.431200000000000e+06,5000
6.117200000000000e-02,7.458672874124456e-03,2.440100000000000e+06,5000
5.681900000000000e-02,6.930389719402509e-03,2.446200000000000e+06,5000
5.302700000000000e-02,6.470360761905011e-03,2.452200000000000e+06,5000
4.979600000000000e-02,6.078543897743932e-03,2.452600000000000e+06,5000
4.727000000000000e-02,5.772339466802000e-03,2.461300000000000e+06,5000
4.179200000000000e-02,5.108742967423591e-03,2.464700000000000e+06,5000
3.758200000000000e-02,4.599306416754595e-03,2.482000000000000e+06,5000
3.463300000000000e-02,4.242850621598643e-03,2.485200000000000e+06,5000
3.154400000000000e-02,3.869929489383495e-03,2.493900000000000e+06,5000
3.000100000000000e-02,3.683868620730115e-03,2.499700000000000e+06,5000
2.775500000000000e-02,3.413360861379880e-03,2.508400000000000e+06,5000
2.607100000000000e-02,3.210843535085445e-03,2.514200000000000e+06,5000
2.326500000000000e-02,2.874134883751979e-03,2.525800000000000e+06,5000
2.102000000000000e-02,2.605616610324704e-03,2.537300000000000e+06,5000
1.990100000000000e-02,2.472152312217028e-03,2.554300000000000e+06,5000
2.229500000000000e-02,2.758005070698746e-03,2.576500000000000e+06,5000
3.480200000000000e-02,4.263267786475533e-03,2.592000000000000e+06,5000
4.309700000000000e-02,5.266763793184578e-03,2.613600000000000e+06,5000
2.905300000000000e-02,3.569640986597952e-03,2.629200000000000e+06,5000
2.498000000000000e-02,3.079806149743844e-03,2.635200000000000e+06,5000
2.161100000000000e-02,2.676214257267156e-03,2.644100000000000e+06,5000
1.964700000000000e-02,2.441898485441195e-03,2.652700000000000e+06,5000
3.018700000000000e-02,3.706288378040759e-03,2.668400000000000e+06,5000
4.438000000000000e-02,5.422162771440931e-03,2.680900000000000e+06,5000
3.525200000000000e-02,4.317639616642408e-03,2.696000000000000e+06,5000
2.752800000000000e-02,3.386045422495097e-03,2.702500000000000e+06,5000
2.317400000000000e-02,2.863233711173435e-03,2.708600000000000e+06,5000
2.134900000000000e-02,2.644908515393301e-03,2.711600000000000e+06,5000
2.008500000000000e-02,2.494078372866418e-03,2.714500000000000e+06,5000
1.741900000000000e-02,2.177300875579670e-03,2.726100000000000e+06,5000
2.374500000000000e-02,2.931656591417214e-03,2.742200000000000e+06,5000
3.358300000000000e-02,4.116030218207830e-03,2.755200000000000e+06,5000
3.695700000000000e-02,4.523730072097582e-03,2.763300000000000e+06,5000
2.965600000000000e-02,3.642290402041001e-03,2.780900000000000e+06,5000
6.169100000000000e-02,7.521671112113318e-03,2.797100000000000e+06,5000
8.164399999999999e-02,9.944998365650945e-03,2.814600000000000e+06,5000
5.664300000000000e-02,6.909034364164069e-03,2.831400000000000e+06,5000
3.149600000000000e-02,3.864139055054826e-03,2.831400000000000e+06,5000
4.076900000000000e-02,4.984902019378114e-03,2.833200000000000e+06,5000
2.391400000000000e-02,2.951917183933181e-03,2.846200000000000e+06,5000
1.872000000000000e-02,2.331627826219270e-03,2.860900000000000e+06,5000
1.619800000000000e-02,2.033015744946408e-03,2.883600000000000e+06,5000
1.550200000000000e-02,1.951055524376485e-03,2.906200000000000e+06,5000
1.522800000000000e-02,1.918854179764580e-03,2.934400000000000e+06,5000
1.607900000000000e-02,2.018986569247057e-03,2.962400000000000e+06,5000
1.776900000000000e-02,2.218763832137165e-03,2.979100000000000e+06,5000
1.974100000000000e-02,2.453092904640997e-03,2.998500000000000e+06,5000
2.269500000000000e-02,2.805874688933916e-03,3.012300000000000e+06,5000
3.197200000000000e-02,3.921567289133262e-03,3.028100000000000e+06,5000
3.632700000000000e-02,4.447564923550864e-03,3.030500000000000e+06,5000
4.195000000000000e-02,5.127872560818960e-03,3.043900000000000e+06,5000
4.855500000000000e-02,5.928094362440598e-03,3.051600000000000e+06,5000
5.263100000000000e-02,6.422330416819115e-03,3.059600000000000e+06,5000
4.856200000000000e-02,5.928942915157810e-03,3.076900000000000e+06,5000
4.392900000000000e-02,5.367532413204414e-03,3.088700000000000e+06,5000
3.129000000000000e-02,3.839290127093809e-03,3.104100000000000e+06,5000
2.974500000000000e-02,3.653015517350015e-03,3.107100000000000e+06,5000
2.722100000000000e-02,3.349111232371956e-03,3.124300000000000e+06,5000
2.891300000000000e-02,3.552777958330635e-03,3.143800000000000e+06,5000
3.074000000000000e-02,3.772959644629134e-03,3.149200000000000e+06,5000
3.313400000000000e-02,4.061816951660919e-03,3.168600000000000e+06,5000
3.510400000000000e-02,4.299756281093151e-03,3.179600000000000e+06,5000
3.735500000000000e-02,4.571855331263227e-03,3.193400000000000e+06,5000
3.988700000000000e-02,4.878155079658702e-03,3.204400000000000e+06,5000
4.340400000000000e-02,5.303944456421088e-03,3.220900000000000e+06,5000
4.635600000000000e-02,5.661572687230996e-03,3.229000000000000e+06,5000
5.535000000000000e-02,6.752156174141708e-03,3.239300000000000e+06,5000
6.307800000000000e-02,7.690041901264258e-03,3.246900000000000e+06,5000
6.870200000000000e-02,8.372901474351647e-03,3.263100000000000e+06,5000
7.109300000000000e-02,8.663277486332756e-03,3.271300000000000e+06,5000
8.050700000000000e-02,9.806853742419125e-03,3.278700000000000e+06,5000
8.416200000000000e-02,1.025095045404083e-02,3.286700000000000e+06,5000
8.992500000000000e-02,1.095126856807009e-02,3.297300000000000e+06,5000
9.849800000000000e-02,1.199322595714764e-02,3.310500000000000e+06,5000
1.013100000000000e-01,1.233503134491356e-02,3.313000000000000e+06,5000
1.044000000000000e-01,1.271064624635585e-02,3.329500000000000e+06,5000
9.485399999999999e-02,1.155031443194513e-02,3.341800000000000e+06,5000
9.316800000000000e-02,1.134539942510620e-02,3.342000000000000e+06,5000
8.502400000000000e-02,1.035569372494185e-02,3.356900000000000e+06,5000
7.603600000000001e-02,9.263682031503457e-03,3.366300000000000e+06,5000
7.266599999999999e-02,8.854329100999125e-03,3.372300000000000e+06,5000
6.943800000000000e-02,8.462281636249173e-03,3.383900000000000e+06,5000
7.393600000000000e-02,9.008588958366344e-03,3.394700000000000e+06,5000
8.405500000000000e-02,1.023794885560579e-02,3.410500000000000e+06,5000
8.869299999999999e-02,1.080154776340872e-02,3.415600000000000e+06,5000
9.206800000000000e-02,1.121171021901654e-02,3.429300000000000e+06,5000
7.464899999999999e-02,9.095196719961585e-03,3.434000000000000e+06,5000
5.933700000000000e-02,7.235953124585593e-03,3.435700000000000e+06,5000
4.767900000000000e-02,5.821911044219071e-03,3.445400000000000e+06,5000
3.742500000000000e-02,4.580320212605227e-03,3.449300000000000e+06,5000
3.124500000000000e-02,3.833862330600826e-03,3.452800000000000e+06,5000
2.408300000000000e-02,2.972181884945805e-03,3.462000000000000e+06,5000
2.239900000000000e-02,2.770448515096427e-03,3.467800000000000e+06,5000
1.776600000000000e-02,2.218408255664407e-03,3.479600000000000e+06,5000
1.453700000000000e-02,1.837824981112184e-03,3.488400000000000e+06,5000
1.257300000000000e-02,1.609219956749232e-03,3.497000000000000e+06,5000
1.117000000000000e-02,1.447957084999414e-03,3.505600000000000e+06,5000
9.346200000000001e-03,1.242095618586589e-03,3.514200000000000e+06,5000
7.384100000000000e-03,1.028089979324767e-03,3.531300000000000e+06,5000
6.403100000000000e-03,9.256324358124018e-04,3.539900000000000e+06,5000
5.142600000000000e-03,8.008781146017164e-04,3.554100000000000e+06,5000
3.602700000000000e-03,6.649028650051073e-04,3.573900000000000e+06,5000
2.624800000000000e-03,5.932669808711758e-04,3.593700000000000e+06,5000
1.646000000000000e-03,5.386073493742914e-04,3.610700000000000e+06,5000
2.493500000000000e-03,5.848244397252906e-04,3.627500000000000e+06,5000
3.899100000000000e-03,6.892054236495821e-04,3.630100000000000e+06,5000
5.729900000000000e-03,8.578519448879275e-04,3.646800000000000e+06,5000
3.209700000000000e-03,6.344069486788430e-04,3.678000000000000e+06,5000
4.758100000000000e-03,7.648953072336109e-04,3.689100000000000e+06,5000
9.816900000000000e-03,1.294719498203375e-03,3.694100000000000e+06,5000
2.204400000000000e-02,2.727981204627334e-03,3.712500000000000e+06,5000
1.684900000000000e-02,2.109870672529480e-03,3.721500000000000e+06,5000
9.827700000000000e-03,1.295931545989988e-03,3.733500000000000e+06,5000
5.333100000000000e-03,8.191098479617980e-04,3.736800000000000e+06,5000
1.131000000000000e-03,5.185861382644161e-04,3.782300000000000e+06,5000
2.545400000000000e-05,5.000095889185696e-04,3.852700000000000e+06,5000
1.769000000000000e-04,5.004629311227755e-04,3.889200000000000e+06,5000
1.027500000000000e-03,5.153883899546050e-04,3.917200000000000e+06,5000
4.732400000000000e-04,5.033036362321258e-04,3.945400000000000e+06,5000
6.221800000000000e-04,5.056967447942689e-04,3.976300000000000e+06,5000
1.331500000000000e-03,5.255842513812605e-04,4.001600000000000e+06,5000
3.025000000000000e-03,6.208294854466884e-04,4.029500000000000e+06,5000
4.298500000000000e-03,7.235061252677824e-04,4.063100000000000e+06,5000
1.034500000000000e-02,1.354208835445996e-03,4.082100000000000e+06,5000
1.582900000000000e-02,1.989534409554155e-03,4.104000000000000e+06,5000
1.344400000000000e-02,1.710254019963116e-03,4.115500000000000e+06,5000
1.077800000000000e-02,1.403298330078105e-03,4.127100000000000e+06,5000
8.109900000000000e-03,1.106075528410244e-03,4.130200000000000e+06,5000
5.446200000000000e-03,8.300507199635454e-04,4.150100000000000e+06,5000
4.329300000000000e-03,7.262189818863178e-04,4.175600000000000e+06,5000
3.775100000000000e-03,6.789112049067978e-04,4.203700000000000e+06,5000
3.641500000000000e-03,6.680237490538790e-04,4.229100000000000e+06,5000
3.649200000000000e-03,6.686453301055800e-04,4.257200000000000e+06,5000
3.656900000000000e-03,6.692676449881616e-04,4.285300000000000e+06,5000
4.507500000000000e-03,7.420915256893855e-04,4.313300000000000e+06,5000
6.058100000000000e-03,8.906000892813789e-04,4.332800000000000e+06,5000
7.045300000000000e-03,9.922784543322505e-04,4.346800000000000e+06,5000
9.294500000000001e-03,1.236340732848352e-03,4.352200000000000e+06,5000
1.154300000000000e-02,1.490625561702200e-03,4.354700000000000e+06,5000
1.786600000000000e-02,2.230262439445188e-03,4.359700000000000e+06,5000
2.854400000000000e-02,3.508339643307073e-03,4.364100000000000e+06,5000
4.835600000000000e-02,5.903971586381493e-03,4.378800000000000e+06,5000
6.873000000000000e-02,8.376301744803610e-03,4.390600000000000e+06,5000
7.533500000000000e-02,9.178527165618676e-03,4.401200000000000e+06,5000
6.017000000000000e-02,7.337053067819531e-03,4.428100000000000e+06,5000
5.146100000000000e-02,6.280435566965081e-03,4.429100000000000e+06,5000
4.415700000000000e-02,5.395149822312630e-03,4.432700000000000e+06,5000
2.758100000000000e-02,3.392422600856209e-03,4.437300000000000e+06,5000
1.802900000000000e-02,2.249591884498164e-03,4.441200000000000e+06,5000
1.367600000000000e-02,1.737264529310375e-03,4.450100000000000e+06,5000
1.030900000000000e-02,1.350139666404924e-03,4.467300000000000e+06,5000
7.643400000000000e-03,1.055764718433042e-03,4.478900000000000e+06,5000
6.380600000000000e-03,9.233300786436019e-04,4.484600000000000e+06,5000
5.259100000000000e-03,8.119977620584923e-04,4.493200000000000e+06,5000
3.576400000000000e-03,6.627981796957503e-04,4.504600000000000e+06,5000
3.021400000000000e-03,6.205699781716804e-04,4.530000000000000e+06,5000
5.700500000000000e-03,8.549481643351249e-04,4.566300000000000e+06,5000
1.371100000000000e-02,1.741342732146661e-03,4.576600000000000e+06,5000
6.232300000000000e-02,7.598388886415330e-03,4.593800000000000e+06,5000
6.639900000000000e-02,8.093246726425680e-03,4.599000000000000e+06,5000
5.277800000000000e-02,6.440159610071787e-03,4.623000000000000e+06,5000
3.746700000000000e-02,4.585399232040761e-03,4.627400000000000e+06,5000
2.594800000000000e-02,3.196063331537721e-03,4.631500000000000e+06,5000
1.878500000000000e-02,2.339352074827558e-03,4.637900000000000e+06,5000
1.682100000000000e-02,2.106561512702632e-03,4.646600000000000e+06,5000
1.415800000000000e-02,1.793500673877766e-03,4.669400000000000e+06,5000
1.570800000000000e-02,1.975290031159981e-03,4.686100000000000e+06,5000
1.739600000000000e-02,2.174577677803209e-03,4.697100000000000e+06,5000
1.936700000000000e-02,2.408566834696517e-03,4.711000000000000e+06,5000
2.119700000000000e-02,2.626752666925457e-03,4.724800000000000e+06,5000
2.190500000000000e-02,2.711359358329323e-03,4.744400000000000e+06,5000
2.163300000000000e-02,2.678843593269305e-03,4.778200000000000e+06,5000
2.163900000000000e-02,2.679560701085161e-03,4.800700000000000e+06,5000
2.122900000000000e-02,2.630574562106157e-03,4.840100000000000e+06,5000
2.039000000000000e-02,2.530440886485989e-03,4.857100000000000e+06,5000
1.856800000000000e-02,2.313569803399067e-03,4.871300000000000e+06,5000
1.815600000000000e-02,2.264658246358598e-03,4.905100000000000e+06,5000
2.603300000000000e-02,3.206277111729428e-03,4.943600000000000e+06,5000
3.165300000000000e-02,3.883079145884101e-03,4.945800000000000e+06,5000
3.811800000000000e-02,4.664132553347943e-03,4.953500000000000e+06,5000
4.570700000000000e-02,5.582931287880946e-03,4.964000000000000e+06,5000
6.214600000000000e-02,7.576902709999647e-03,4.973400000000000e+06,5000
7.366900000000000e-02,8.976157257022629e-03,4.986200000000000e+06,5000
8.968800000000000e-02,1.092246641977901e-02,5.001300000000000e+06,5000
1.118900000000000e-01,1.362118596451865e-02,5.027000000000000e+06,5000
1.061400000000000e-01,1.292216522414104e-02,5.041700000000000e+06,5000
9.251300000000000e-02,1.126579320337454e-02,5.054400000000000e+06,5000
8.211900000000000e-02,1.000271195140598e-02,5.061200000000000e+06,5000
7.833000000000000e-02,9.542364262592369e-03,5.075700000000000e+06,5000
7.973900000000000e-02,9.713545191679503e-03,5.092400000000000e+06,5000
8.255100000000000e-02,1.005520166355703e-02,5.100500000000000e+06,5000
8.508200000000000e-02,1.036274150575995e-02,5.108700000000000e+06,5000
8.817500000000000e-02,1.073859829074540e-02,5.116800000000000e+06,5000
9.450100000000000e-02,1.150741053472935e-02,5.132900000000000e+06,5000
9.885800000000000e-02,1.203698390906958e-02,5.140900000000000e+06,5000
1.044800000000000e-01,1.272037113923961e-02,5.154300000000000e+06,5000
1.091200000000000e-01,1.328443378996636e-02,5.162300000000000e+06,5000
1.177400000000000e-01,1.433241335156086e-02,5.170100000000000e+06,5000
1.218700000000000e-01,1.483455405868339e-02,5.173200000000000e+06,5000
1.239200000000000e-01,1.508380796483435e-02,5.177800000000000e+06,5000
1.287000000000000e-01,1.566501235237304e-02,5.185800000000000e+06,5000
1.373400000000000e-01,1.671561183086039e-02,5.206100000000000e+06,5000
1.398800000000000e-01,1.702448040675544e-02,5.214400000000000e+06,5000
1.429800000000000e-01,1.740145252328092e-02,5.228300000000000e+06,5000
1.446800000000000e-01,1.760818206175754e-02,5.270300000000000e+06,5000
1.416000000000000e-01,1.723363826938467e-02,5.287400000000000e+06,5000
1.388000000000000e-01,1.689314985430485e-02,5.298800000000000e+06,5000
1.337500000000000e-01,1.627907015157807e-02,5.304700000000000e+06,5000
1.256200000000000e-01,1.529050977305858e-02,5.338900000000000e+06,5000
1.245000000000000e-01,1.515432941439508e-02,5.353000000000000e+06,5000
1.275900000000000e-01,1.553004442620819e-02,5.361300000000000e+06,5000
1.399600000000000e-01,1.703420863086982e-02,5.369000000000000e+06,5000
1.573800000000000e-01,1.915263097122690e-02,5.373700000000000e+06,5000
1.947700000000000e-01,2.370006799399529e-02,5.396900000000000e+06,5000
1.849400000000000e-01,2.250447718299627e-02,5.405900000000000e+06,5000
1.737000000000000e-01,2.113743153744087e-02,5.412100000000000e+06,5000
1.478500000000000e-01,1.799367702833415e-02,5.413600000000000e+06,5000
1.310000000000000e-01,1.594467936334877e-02,5.417300000000000e+06,5000
1.332600000000000e-01,1.621948730632383e-02,5.445300000000000e+06,5000
1.388900000000000e-01,1.690409403310334e-02,5.456200000000000e+06,5000
1.476000000000000e-01,1.796327497980254e-02,5.472600000000000e+06,5000
1.566000000000000e-01,1.905777237769409e-02,5.474900000000000e+06,5000
1.658700000000000e-01,2.018515003957117e-02,5.477300000000000e+06,5000
1.779500000000000e-01,2.165432513379255e-02,5.482200000000000e+06,5000
1.931300000000000e-01,2.350059816515316e-02,5.495400000000000e+06,5000
2.010100000000000e-01,2.445903304466470e-02,5.509100000000000e+06,5000
2.083200000000000e-01,2.534815361165385e-02,5.519900000000000e+06,5000
2.125400000000000e-01,2.586144086627812e-02,5.533700000000000e+06,5000
