XS (b),dXS (b),Ea (eV)
2.930000000000000e-09,3.588502473177356e-10,4.750000000000000e+05
6.830000000000000e-09,8.365007471604553e-10,5.000000000000000e+05
1.490000000000000e-08,1.824869858373468e-09,5.250000000000000e+05
3.100000000000000e-08,3.796709101313926e-09,5.500000000000000e+05
6.120000000000001e-08,7.495438612916526e-09,5.750000000000000e+05
1.160000000000000e-07,1.420704050814243e-08,6.000000000000000e+05
2.110000000000000e-07,2.584211678636253e-08,6.250000000000000e+05
3.710000000000000e-07,4.543803472862796e-08,6.500000000000000e+05
6.320000000000000e-07,7.740387587194844e-08,6.750000000000000e+05
1.047000000000000e-06,1.282307880346994e-07,7.000000000000000e+05
