XS_Ea_sum,dXS_Ea,N_Ea,Ea_mean
51612.0,8284.746529616945,1,1870000.0
257489.0,24191.50758354553,3,1913333.3333333333
560664.0,36961.39770652666,6,1968333.3333333333
1196069.0,80322.93410358031,6,2036666.6666666667
1343398.0,88932.17635231001,6,2101666.6666666665
339386.0,28571.744021362436,5,2164000.0
80058.1,5486.582634826393,6,2218333.3333333335
138905.6,13618.840594937956,6,2288333.3333333335
0.0,0.0,0,
3318.4,536.8408579628045,1,2440000.0
19053.0,2315.586172794267,2,2485000.0
73200.7,9084.845404390098,2,2545000.0
37403.100000000006,4262.489234480276,2,2615000.0
39231.2,4467.68210964868,2,2685000.0
812478.0,55564.31193609568,8,2745000.0
94724.5,7885.310660281275,4,2802500.0
179464.0,22572.30407823127,3,2856666.6666666665
179529.0,21025.060639123494,2,2925000.0
0.0,0.0,0,
0.0,0.0,0,
914203.0,86725.08084870936,3,3140000.0
1197098.0,96622.83471339216,4,3185000.0
3502310.0,198781.3096753739,8,3255000.0
2996010.0,183180.68539569667,7,3312857.1428571427
2666090.0,194105.33345349424,5,3384000.0
2306980.0,189909.86563632629,4,3442500.0
780400.0,72513.41770388104,3,3503333.3333333335
2191762.0,165699.2277865458,5,3574000.0
2514640.0,201893.4844750709,4,3640000.0
5125140.0,349067.9650570033,6,3700000.0
5895400.0,342813.61240529304,8,3771250.0
12765360.0,634452.307812509,11,3823636.3636363638
4532420.0,297246.9680945476,6,3885000.0
4787360.0,314630.9400773568,6,3955000.0
4014620.0,289606.2664757553,5,4012000.0
1207660.0,137046.83887062554,2,4080000.0
628160.0,100679.81988529828,1,4160000.0
1510320.0,171732.24407308752,2,4230000.0
3177200.0,296888.8633309833,3,4280000.0
3388800.0,314416.9380801093,3,4340000.0
4499800.0,361540.6339856033,4,4407500.0
11341500.0,579878.2377208371,10,4467000.0
3041630.0,283999.62959364435,3,4533333.333333333
3582420.0,336844.05949980597,3,4610000.0
2481990.0,287825.30074135266,2,4665000.0
2550710.0,298411.3275652451,2,4715000.0
2392380.0,286774.2147078359,2,4775000.0
5423680.0,523527.9598817684,3,4833333.333333333
1543500.0,269517.67951101094,1,4900000.0
966930.0,218444.5261296332,1,5010000.0
