bin_center,sigma,d_sigma
301000.0,0.0,0.0
303000.0,0.0,0.0
305000.0,0.0,0.0
307000.0,0.0,0.0
309000.0,0.0,0.0
311000.0,0.0,0.0
313000.0,0.0,0.0
315000.0,0.0,0.0
317000.0,0.0,0.0
319000.0,0.0,0.0
321000.0,0.0,0.0
323000.0,0.0,0.0
325000.0,0.0,0.0
327000.0,0.0,0.0
329000.0,0.0,0.0
331000.0,0.0,0.0
333000.0,0.0,0.0
335000.0,0.0,0.0
337000.0,0.0,0.0
339000.0,0.0,0.0
341000.0,0.0,0.0
343000.0,0.0,0.0
345000.0,0.0,0.0
347000.0,0.0,0.0
349000.0,0.0,0.0
351000.0,0.0,0.0
353000.0,0.0,0.0
355000.0,0.0,0.0
357000.0,0.0,0.0
359000.0,0.0,0.0
361000.0,0.0,0.0
363000.0,0.0,0.0
365000.0,0.0,0.0
367000.0,0.0,0.0
369000.0,0.0,0.0
371000.0,0.0,0.0
373000.0,0.0,0.0
375000.0,0.0,0.0
377000.0,0.0,0.0
379000.0,0.0,0.0
381000.0,0.0,0.0
383000.0,0.0,0.0
385000.0,0.0,0.0
387000.0,0.0,0.0
389000.0,0.0,0.0
391000.0,0.0,0.0
393000.0,0.0,0.0
395000.0,0.0,0.0
397000.0,0.0,0.0
399000.0,0.0,0.0
401000.0,0.0,0.0
403000.0,0.0,0.0
405000.0,0.0,0.0
407000.0,0.0,0.0
409000.0,0.0,0.0
411000.0,0.0,0.0
413000.0,0.0,0.0
415000.0,0.0,0.0
417000.0,0.0,0.0
419000.0,0.0,0.0
421000.0,0.0,0.0
423000.0,0.0,0.0
425000.0,0.0,0.0
427000.0,0.0,0.0
429000.0,0.0,0.0
431000.0,0.0,0.0
433000.0,0.0,0.0
435000.0,0.0,0.0
437000.0,0.0,0.0
439000.0,0.0,0.0
441000.0,0.0,0.0
443000.0,0.0,0.0
445000.0,0.0,0.0
447000.0,0.0,0.0
449000.0,0.0,0.0
451000.0,0.0,0.0
453000.0,0.0,0.0
455000.0,0.0,0.0
457000.0,0.0,0.0
459000.0,0.0,0.0
461000.0,0.0,0.0
463000.0,0.0,0.0
465000.0,0.0,0.0
467000.0,0.0,0.0
469000.0,0.0,0.0
471000.0,0.0,0.0
473000.0,0.0,0.0
475000.0,0.0,0.0
477000.0,0.0,0.0
479000.0,0.0,0.0
481000.0,0.0,0.0
483000.0,0.0,0.0
485000.0,0.0,0.0
487000.0,0.0,0.0
489000.0,0.0,0.0
491000.0,0.0,0.0
493000.0,0.0,0.0
495000.0,0.0,0.0
497000.0,0.0,0.0
499000.0,0.0,0.0
501000.0,0.0,0.0
503000.0,0.0,0.0
505000.0,0.0,0.0
507000.0,0.0,0.0
509000.0,0.0,0.0
511000.0,0.0,0.0
513000.0,0.0,0.0
515000.0,0.0,0.0
517000.0,0.0,0.0
519000.0,0.0,0.0
521000.0,0.0,0.0
523000.0,0.0,0.0
525000.0,0.0,0.0
527000.0,0.0,0.0
529000.0,0.0,0.0
531000.0,0.0,0.0
533000.0,0.0,0.0
535000.0,0.0,0.0
537000.0,0.0,0.0
539000.0,0.0,0.0
541000.0,0.0,0.0
543000.0,0.0,0.0
545000.0,0.0,0.0
547000.0,0.0,0.0
549000.0,0.0,0.0
551000.0,0.0,0.0
553000.0,0.0,0.0
555000.0,0.0,0.0
557000.0,0.0,0.0
559000.0,0.0,0.0
561000.0,0.0,0.0
563000.0,0.0,0.0
565000.0,0.0,0.0
567000.0,0.0,0.0
569000.0,0.0,0.0
571000.0,0.0,0.0
573000.0,0.0,0.0
575000.0,0.0,0.0
577000.0,0.0,0.0
579000.0,0.0,0.0
581000.0,0.0,0.0
583000.0,0.0,0.0
585000.0,0.0,0.0
587000.0,0.0,0.0
589000.0,0.0,0.0
591000.0,0.0,0.0
593000.0,0.0,0.0
595000.0,0.0,0.0
597000.0,0.0,0.0
599000.0,0.0,0.0
