EN (MeV),XS (mb)
0.36,4.462276975361087e-08
0.37,7.818266779949022e-08
0.38,1.1174256584536958e-07
0.38999999999999996,1.4906136493978209e-07
0.39999999999999997,1.9854193219474889e-07
0.41,3.390059642147117e-07
0.42,4.043376027528197e-07
0.43,5.204243659997452e-07
0.44,8.358921915320654e-07
0.44999999999999996,1.2303766010323074e-06
0.45999999999999996,1.7485090114691426e-06
0.47,2.437889504874785e-06
0.48,3.2784956513428273e-06
0.49,4.4342872747132715e-06
0.5,6.137373351175683e-06
0.51,8.525034408931029e-06
0.52,1.1736534638323902e-05
0.53,1.550481725034409e-05
0.5399999999999999,2.0602436662078807e-05
0.5499999999999999,2.654995412376389e-05
0.5599999999999999,3.419599347537975e-05
0.57,4.487383391955957e-05
0.58,6.06764540959372e-05
0.59,8.402499144817595e-05
0.6,0.00011823228766323922
0.61,0.0001524395838783025
0.62,0.00018664688009336578
0.63,0.00022085417630842902
0.64,0.0002816413795878944
0.65,0.0003762163956857695
0.6599999999999999,0.00047079141178364454
0.6699999999999999,0.0005653664278815196
0.6799999999999999,0.0006599414439793946
0.69,0.0008511238102903596
0.7,0.0011509407006459142
0.71,0.001450757591001469
0.72,0.0017505744813570237
0.73,0.002050391371712578
0.74,0.0025629192909028715
0.75,0.003287309093104212
0.76,0.004011698895305552
0.77,0.004736088697506892
0.7799999999999999,0.005460478499708232
0.7899999999999999,0.006676644465460692
0.7999999999999999,0.008326643459363745
0.8099999999999999,0.009976642453266796
0.82,0.011626641447169848
0.83,0.013276640441072901
0.84,0.016147091373724772
0.85,0.019970259774231846
0.86,0.023793428174738916
0.87,0.027616596575245993
0.88,0.031439764975753064
0.89,0.037883172022456085
0.8999999999999999,0.04613316699197134
0.9099999999999999,0.054383161961486605
0.9199999999999999,0.06263315693100187
0.9299999999999999,0.07088315190051714
0.94,0.0839288884456191
0.95,0.09988660050865207
0.96,0.11584431257168504
0.97,0.131802024634718
0.98,0.14775973669775097
0.99,0.16371744876078392
1.0,0.18758642512459459
1.01,0.2165925691532843
1.02,0.24559871318197396
1.03,0.2746048572106637
1.04,0.3333187772925764
1.05,0.7369980879541109
1.06,2.0629063097514337
1.07,1.684130019120459
1.0799999999999998,0.7631739961759083
1.0899999999999999,0.58
1.0999999999999999,0.614631122132672
1.1099999999999999,0.6580285182889026
1.1199999999999999,0.7014259144451334
1.13,0.7448233106013639
1.14,0.7882207067575946
1.15,0.8266619718309859
1.16,0.8648913480885312
1.17,0.9031207243460765
1.18,0.9413501006036217
1.19,0.9795794768611671
1.2,1.0001665250637213
1.21,1.0205573491928632
1.22,1.040948173322005
1.23,1.0613389974511471
1.24,1.0817298215802889
1.25,1.1034574468085108
1.26,1.1367021276595746
1.27,1.1699468085106384
1.28,1.2031914893617022
1.29,1.236436170212766
1.3,1.2696808510638298
1.3099999999999998,1.308413001912046
1.3199999999999998,1.4040152963671126
1.3299999999999998,1.4996175908221798
1.3399999999999999,5.8152963671128095
1.3499999999999999,5.063479923518164
1.3599999999999999,1.829827915869981
1.3699999999999999,1.5
1.38,1.5
